List Sr.No.,Set No.,2022 Set,First Name,Surname,Country,State Association,DOB,Age,Specialism,,,Test caps,ODI caps,T20 caps,IPL,Previous IPLTeam(s),2021 Team,2021 IPL,C/U/A,Reserve Price Rs Lakh
345,37,BA5,Hashmatullah,Shahidi,Afghanistan,,04-11-1994,27,BATSMAN,LHB,RIGHT ARM Off Spin,5,44,4,,,,,Capped,50
346,37,BA5,Manoj,Tiwary,India,CAB,14-11-1985,36,BATSMAN,RHB,RIGHT ARM Leg Spin,,12,3,98,"DD, KKR, RPS, KXIP",,,Capped,50
347,38,AL5,Ashton,Agar,Australia,,14-10-1993,28,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,4,15,40,,,,,Capped,200
348,38,AL5,Carlos,Brathwaite,West Indies,,18-07-1988,33,ALL-ROUNDER,RHB,RIGHT ARM Fast,3,44,41,16,"DD, SRH, KKR",,,Capped,75
349,38,AL5,Kedar,Jadhav,India,MACA,26-03-1985,37,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,73,9,93,"KTK, DD, RCB, CSK, SRH",SRH,7,Capped,100
350,38,AL5,Chamika,Karunaratne,Sri Lanka,,29-05-1996,25,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,1,10,14,,,,,Capped,50
351,38,AL5,Colin,Munro,New Zealand,,11-03-1987,35,ALL-ROUNDER,LHB,RIGHT ARM Medium,1,57,65,13,"KKR, DC",,,Capped,150
352,38,AL5,Gulbadin,Naib,Afghanistan,,04-06-1991,30,ALL-ROUNDER,RHB,RIGHT ARM Medium,,68,53,,,,,Capped,50
353,38,AL5,Keemo,Paul,West Indies,,21-02-1998,24,ALL-ROUNDER,RHB,RIGHT ARM Fast,3,29,20,8,DC,,,Capped,75
354,38,AL5,Parvez,Rasool,India,JKCA,13-02-1989,33,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,1,1,11,"PWI,SRH, RCB",,,Capped,50
355,38,AL5,Dasun,Shanaka,Sri Lanka,,09-09-1991,30,ALL-ROUNDER,RHB,RIGHT ARM Medium,6,34,57,,,,,Capped,50
356,38,AL5,David,Willey,England,,28-02-1990,32,ALL-ROUNDER,LHB,LEFT ARM Fast Medium,,52,32,3,CSK,,,Capped,200
357,39,FA5,Varun,Aaron,India,JSCA,29-10-1989,32,BOWLER,RHB,RIGHT ARM Fast,9,9,,50,"DD, RCB,KXIP, RR",,,Capped,50
358,39,FA5,Wesley,Agar,Australia,,05-02-1997,25,BOWLER,RHB,RIGHT ARM Fast,,2,,,,,,Capped,50
359,39,FA5,Shoriful,Islam,Bangladesh,,03-06-2001,20,BOWLER,LHB,LEFT ARM Fast Medium,,,1,,,,,Capped,50
360,39,FA5,Josh,Little,Ireland,,01-11-1999,22,BOWLER,RHB,LEFT ARM Fast Medium,,19,27,,,,,Capped,50
361,39,FA5,Blessing,Muzarabani,Zimbabwe,,02-10-1996,25,BOWLER,RHB,RIGHT ARM Fast,6,27,21,,,,,Capped,50
362,39,FA5,Jayden,Seales,West Indies,,10-09-2001,20,BOWLER,LHB,RIGHT ARM Fast,4,,,,,,,Capped,50
363,39,FA5,Mohit,Sharma,India,HCA,18-09-1988,33,BOWLER,RHB,RIGHT ARM Fast Medium,,26,8,86,"KXIP, CSK, DC",,,Capped,50
364,39,FA5,Barinder,Sran,India,PCA,10-12-1992,29,BOWLER,LHB,LEFT ARM Fast Medium,,6,2,24,"RR, SRH, KXIP, MI",,,Capped,50
365,39,FA5,Billy,Stanlake,Australia,,04-11-1994,27,BOWLER,LHB,RIGHT ARM Fast,,7,19,6,"RCB, SRH",,,Capped,75
366,39,FA5,Neil,Wagner,New Zealand,,13-03-1986,36,BOWLER,LHB,LEFT ARM Fast Medium,54,,,,,,,Capped,50
367,40,UBA5,Qamran,Iqbal,India,JKCA,17-10-2001,20,BATSMAN,RHB,RIGHT ARM Leg Spin,,,,,,,,Uncapped,20
368,40,UBA5,Ishank,Jaggi,India,JSCA,27-01-1989,33,BATSMAN,RHB,-,,,,7,"DCH, KKR",,,Uncapped,20
369,40,UBA5,Rohan,Kunnummal,India,KCA,10-05-1998,23,BATSMAN,RHB,RIGHT ARM Off Spin,,,,,,,,Uncapped,20
370,40,UBA5,Tanmay,Mishra,India,MCA,22-12-1986,35,BATSMAN,RHB,RIGHT ARM Off Spin,,,,1,DCH,,,Uncapped,20
371,40,UBA5,Yash,Nahar,India,MACA,10-10-1994,27,BATSMAN,RHB,RIGHT ARM Off Spin,,,,,,,,Uncapped,20
372,40,UBA5,Shubham Singh,Rohilla,India,HCA,10-03-1998,24,BATSMAN,LHB,RIGHT ARM Leg Spin,,,,,,,,Uncapped,20
373,40,UBA5,Alex,Ross,Australia,,17-04-1992,29,BATSMAN,RHB,RIGHT ARM Off Spin,,,,,,,,Uncapped,20
374,40,UBA5,R,Samarth,India,KSCA,22-01-1993,29,BATSMAN,RHB,RIGHT ARM Off Spin,,,,,,,,Uncapped,20
375,40,UBA5,Naushad,Shaikh,India,MACA,15-10-1991,30,BATSMAN,RHB,RIGHT ARM Off Spin,,,,,,,,Uncapped,20
376,40,UBA5,Abhijeet,Tomar,India,RCA,14-03-1995,27,BATSMAN,RHB,RIGHT ARM Off Spin,,,,,,,,Uncapped,20
377,41,UAL5,Baba,Aparajith,India,TNCA,08-07-1994,27,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,,0,RPS,,,Uncapped,20
378,41,UAL5,Prayas,Barman,India,CAB,25-10-2002,19,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,,,,1,RCB,,,Uncapped,20
379,41,UAL5,Yudhvir,Charak,India,HYCA,13-09-1997,24,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,0,MI,MI,0,Uncapped,20
380,41,UAL5,Shubhang,Hegde,India,KSCA,30-03-2001,21,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,,,,,Uncapped,20
381,41,UAL5,Roosh,Kalaria,India,GUCA,16-01-1993,29,ALL-ROUNDER,RHB,LEFT ARM Fast Medium,,,,,,,,Uncapped,20
382,41,UAL5,Aman,Khan,India,MCA,23-11-1996,25,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,,,,,Uncapped,20
383,41,UAL5,Tanush,Kotian,India,MCA,16-10-1998,23,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,,,,,,Uncapped,20
384,41,UAL5,Pradeep,Sangwan,India,DDCA,05-11-1990,31,ALL-ROUNDER,RHB,LEFT ARM Fast,,,,39,"DD, GL, MI",,,Uncapped,20
385,41,UAL5,Kaushal,Tambe,India,MACA,14-10-2002,19,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,,,,,,Uncapped,20
386,41,UAL5,Shivank,Vashisth,India,DDCA,17-09-1995,26,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,,,,,Uncapped,20
387,42,UWK4,Rahul,Chandrol,India,MPCA,13-10-2000,21,WICKETKEEPER,RHB,-,,,,,,,,Uncapped,20
388,42,UWK4,Harvik,Desai,India,SCA,04-10-1999,22,WICKETKEEPER,RHB,-,,,,,,,,Uncapped,20
389,42,UWK4,Cam,Fletcher,New Zealand,,01-03-1993,29,WICKETKEEPER,RHB,-,,,,,,,,Uncapped,20
390,42,UWK4,Tarang,Gohel,India,SCA,17-08-1999,22,WICKETKEEPER,RHB,-,,,,,,,,Uncapped,20
391,42,UWK4,Fazil,Makaya,India,JKCA,11-12-1996,25,WICKETKEEPER,RHB,-,,,,,,,,Uncapped,20
392,42,UWK4,Ryan,Rickelton,South Africa,,11-07-1996,25,WICKETKEEPER,LHB,-,,,,,,,,Uncapped,20
393,42,UWK4,Sandeep Kumar,Tomar,India,UPCA,23-08-1998,23,WICKETKEEPER,LHB,RIGHT ARM Off Spin,,,,,,,,Uncapped,20
394,42,UWK4,Siddhesh,Wath,India,VCA,03-07-1997,24,WICKETKEEPER,RHB,-,,,,,,,,Uncapped,20
395,43,UFA5,Stephen,Cheepurupalli,India,ACA,03-12-1993,28,BOWLER,LHB,LEFT ARM Fast Medium,,,,,,,,Uncapped,20
396,43,UFA5,Aniket,Choudhary,India,RCA,28-01-1990,32,BOWLER,RHB,LEFT ARM Fast Medium,,,,5,RCB,,,Uncapped,20
397,43,UFA5,Kartikeya,Kak,India,HYCA,04-10-1996,25,BOWLER,RHB,RIGHT ARM Fast Medium,,,,,,,,Uncapped,20
398,43,UFA5,Ali,Khan,USA,,13-12-1990,31,BOWLER,RHB,RIGHT ARM Fast,,,,0,KKR,,,Associate,40
399,43,UFA5,Kulwant,Khejroliya,India,DDCA,13-03-1992,30,BOWLER,LHB,LEFT ARM Fast,,,,5,"MI, RCB, DC",DC,0,Uncapped,20
400,43,UFA5,Ronit,More,India,KSCA,02-02-1992,30,BOWLER,RHB,RIGHT ARM Fast Medium,,,,2,CSK,,,Uncapped,20
401,43,UFA5,M,Nidheesh,India,KCA,05-09-1991,30,BOWLER,RHB,RIGHT ARM Fast Medium,,,,0,MI,,,Uncapped,20
402,43,UFA5,Babasafi,Pathan,India,BCA,19-08-1994,27,BOWLER,RHB,RIGHT ARM Fast,,,,,,,,Uncapped,20
403,43,UFA5,Vidyadhar,Patil,India,KSCA,05-09-2000,21,BOWLER,RHB,RIGHT ARM Fast Medium,,,,,,,,Uncapped,20
404,43,UFA5,Mukesh Kumar,Singh,India,CAB,12-10-1993,28,BOWLER,RHB,RIGHT ARM Fast Medium,,,,,,,,Uncapped,20
405,44,USP4,R.,Alexandar,India,TNCA,10-05-1995,26,BOWLER,LHB,LEFT ARM Slow Orthodox,,,,,,,,Uncapped,20
406,44,USP4,Adithya,Ashok,New Zealand,,05-09-2002,19,BOWLER,RHB,RIGHT ARM Leg Spin,,,,,,,,Uncapped,20
407,44,USP4,Jasmer,Dhankhar,India,UPCA,16-10-1998,23,BOWLER,RHB,RIGHT ARM Leg Spin,,,,,,,,Uncapped,20
408,44,USP4,Prerit,Dutta,India,PCA,22-09-1998,23,BOWLER,LHB,LEFT ARM Slow Orthodox,,,,,,,,Uncapped,20
409,44,USP4,Jon Russ,Jaggesar,West Indies,,19-03-1986,36,BOWLER,RHB,RIGHT ARM Off Spin,,,,,,,,Uncapped,20
410,44,USP4,S.,Kishan Kumar,India,TNCA,06-02-2000,22,BOWLER,LHB,RIGHT ARM Leg Spin,,,,,,,,Uncapped,20
411,44,USP4,Kevin,Koththigoda,Sri Lanka,,04-10-1998,23,BOWLER,LHB,RIGHT ARM Leg Spin,,,,,,,,Uncapped,20
412,44,USP4,Swaraj,Wabale,India,MACA,16-12-1997,24,BOWLER,RHB,RIGHT ARM Leg Spin,,,,,,,,Uncapped,20
413,45,AL6,Curtis,Campher,Ireland,,20-04-1999,22,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,13,9,,,,,Capped,50
414,45,AL6,Colin,De Grandhomme,New Zealand,,22-07-1986,35,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,26,42,41,25,"KKR, RCB",,,Capped,100
415,45,AL6,James,Faulkner,Australia,,29-04-1990,31,ALL-ROUNDER,RHB,LEFT ARM Medium,1,69,24,60,"PWI, KXIP, RR, GL",,,Capped,100
416,45,AL6,Craig,Overton,England,,10-04-1994,27,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,6,4,,,,,,Capped,200
417,45,AL6,Wayne,Parnell,South Africa,,30-07-1989,32,ALL-ROUNDER,LHB,LEFT ARM Fast Medium,6,66,40,26,"PWI, DD",,,Capped,50
418,45,AL6,Samit,Patel,England,,30-11-1984,37,ALL-ROUNDER,RHB,LEFT ARM Slow Orthodox,6,36,18,,,,,Capped,50
419,45,AL6,Thisara,Perera,Sri Lanka,,03-04-1989,33,ALL-ROUNDER,LHB,RIGHT ARM Fast Medium,6,166,84,37,"CSK, KTK, MI, SRH, KXIP, RPS",,,Capped,50
420,45,AL6,Darcy,Short,Australia,,09-08-1990,31,ALL-ROUNDER,LHB,LEFT ARM Slow Unorthodox,,8,23,7,RR,,,Capped,100
421,45,AL6,Murali,Vijay,India,TNCA,01-04-1984,38,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,61,17,9,106,"DD, KXIP, CSK",,,Capped,50
422,45,AL6,Jack,Wildermuth,Australia,,01-09-1993,28,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,2,,,,,Capped,50
423,46,FA6,Hamish,Bennett,New Zealand,,22-02-1987,35,BOWLER,LHB,RIGHT ARM Fast Medium,1,19,11,,,,,Capped,50
424,46,FA6,Daryn,Dupavillon,South Africa,,15-07-1994,27,BOWLER,RHB,RIGHT ARM Fast,,2,,,,,,Capped,50
425,46,FA6,Fidel,Edwards,West Indies,,06-02-1982,40,BOWLER,RHB,RIGHT ARM Fast,55,50,26,6,DCH,,,Capped,50
426,46,FA6,Hamid,Hassan,Afghanistan,,01-06-1987,34,BOWLER,RHB,RIGHT ARM Fast,,38,25,,,,,Capped,50
427,46,FA6,Lahiru,Kumara,Sri Lanka,,13-02-1997,25,BOWLER,RHB,RIGHT ARM Fast,23,13,14,,,,,Capped,50
428,46,FA6,Joel,Paris,Australia,,11-12-1992,29,BOWLER,LHB,LEFT ARM Fast Medium,,2,,,,,,Capped,50
429,46,FA6,S.,Sreesanth,India,KCA,06-02-1983,39,BOWLER,RHB,RIGHT ARM Fast Medium,27,53,10,44,"KXIP, KTK, RR",,,Capped,50
430,46,FA6,Oshane,Thomas,West Indies,,18-02-1997,25,BOWLER,LHB,RIGHT ARM Fast,,20,20,4,RR,,,Capped,50
431,46,FA6,Blair,Tickner,New Zealand,,13-10-1993,28,BOWLER,RHB,RIGHT ARM Fast,,,8,,,,,Capped,50
432,46,FA6,Isuru,Udana,Sri Lanka,,17-02-1988,34,BOWLER,RHB,LEFT ARM Fast Medium,,21,35,10,RCB,,,Capped,50
433,47,UBA6,Donavon,Ferreira,South Africa,,21-07-1998,23,BATSMAN,RHB,RIGHT ARM Off Spin,,,,,,,,Uncapped,20
434,47,UBA6,Ramesh,Kumar,India,PCA,01-01-1999,23,BATSMAN,LHB,-,,,,,,,,Uncapped,20
435,47,UBA6,Bhupen,Lalwani,India,MCA,07-04-1999,23,BATSMAN,RHB,-,,,,,,,,Uncapped,20
436,47,UBA6,Henan,Malik,India,JKCA,25-03-1997,25,BATSMAN,RHB,RIGHT ARM Fast Medium,,,,,,,,Uncapped,20
437,47,UBA6,Pukhraj,Mann,India,PCA,07-06-2001,20,BATSMAN,LHB,LEFT ARM Slow Orthodox,,,,,,,,Uncapped,20
438,47,UBA6,Shashwat,Rawat,India,BCA,06-04-2001,21,BATSMAN,LHB,RIGHT ARM Fast Medium,,,,,,,,Uncapped,20
439,47,UBA6,Pratham,Singh,India,RSPB,31-08-1992,29,BATSMAN,LHB,RIGHT ARM Off Spin,,,,0,GL,,,Uncapped,20
440,47,UBA6,Jake,Weatherald,Australia,,04-11-1994,27,BATSMAN,LHB,RIGHT ARM Leg Spin,,,,,,,,Uncapped,20
441,48,UAL6,Writtick,Chatterjee,India,CAB,28-09-1992,29,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,,,,,,Uncapped,20
442,48,UAL6,Gerald,Coetzee,South Africa,,02-10-2000,21,ALL-ROUNDER,RHB,RIGHT ARM Fast,,,,,,,,Uncapped,20
443,48,UAL6,Akshay,Karnewar,India,VCA,12-10-1992,29,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,,,,,Uncapped,20
444,48,UAL6,Sumit,Kumar,India,HCA,12-12-1995,26,ALL-ROUNDER,RHB,RIGHT ARM Fast,,,,,,,,Uncapped,20
445,48,UAL6,Abid,Mushtaq,India,JKCA,17-01-1997,25,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,,,,,Uncapped,20
446,48,UAL6,Lone,Muzaffar,India,JKCA,05-09-1997,24,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,,,,,Uncapped,20
447,48,UAL6,Ninad,Rathva,India,BCA,10-03-1999,23,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,,,,,Uncapped,20
448,48,UAL6,Shoun,Roger,India,KCA,16-10-2002,19,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,,,,,,Uncapped,20
449,48,UAL6,Hrithik,Shokeen,India,DDCA,14-08-2000,21,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,,,,,,Uncapped,20
450,48,UAL6,Shashank,Singh,India,CSCSCA,21-11-1991,30,ALL-ROUNDER,RHB,RIGHT ARM Medium,,,,0,"DD, RR",,,Uncapped,20
451,49,UFA6,Jaideep,Bhambhu,India,HCA,19-03-1999,23,BOWLER,RHB,RIGHT ARM Fast Medium,,,,,,,,Uncapped,20
452,49,UFA6,Nandre,Burger,South Africa,,11-08-1995,26,BOWLER,LHB,LEFT ARM Fast,,,,,,,,Uncapped,20
453,49,UFA6,Matt,Kelly,Australia,,07-12-1994,27,BOWLER,RHB,RIGHT ARM Fast Medium,,,,0,KKR,,,Uncapped,30
454,49,UFA6,V,Koushik,India,KSCA,19-09-1992,29,BOWLER,RHB,RIGHT ARM Fast Medium,,,,,,,,Uncapped,20
455,49,UFA6,Akash,Madhwal,India,CAU,25-11-1993,28,BOWLER,RHB,RIGHT ARM Fast Medium,,,,,,,,Uncapped,20
456,49,UFA6,Amit,Mishra,India,UPCA,11-11-1991,30,BOWLER,RHB,RIGHT ARM Fast Medium,,,,0,"RR, GL",,,Uncapped,20
457,49,UFA6,Anuj,Raj,India,BICA,01-11-2000,21,BOWLER,RHB,LEFT ARM Fast Medium,,,,,,,,Uncapped,20
458,49,UFA6,Abhijeet,Saket,India,BICA,03-08-1995,26,BOWLER,RHB,RIGHT ARM Fast Medium,,,,,,,,Uncapped,20
459,49,UFA6,Rahul,Shukla,India,JSCA,28-08-1990,31,BOWLER,RHB,RIGHT ARM Fast,,,,7,"MI, RR, DD",,,Uncapped,20
460,49,UFA6,Nuwan,Thushara,Sri Lanka,,06-08-1994,27,BOWLER,RHB,RIGHT ARM Fast Medium,,,,,,,,Uncapped,20
461,50,AL7,Mark,Adnair,Ireland,,27-03-1996,26,ALL-ROUNDER,RHB,RIGHT ARM Fast,1,24,31,,,,,Capped,50
462,50,AL7,Hilton,Cartwright,Australia,,14-02-1992,30,ALL-ROUNDER,RHB,RIGHT ARM Medium,2,2,,,,,,Capped,50
463,50,AL7,Gareth,Delany,Ireland,,28-04-1997,24,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,,12,29,,,,,Capped,50
464,50,AL7,Danushka,Gunatilaka,Sri Lanka,,17-03-1991,31,ALL-ROUNDER,LHB,RIGHT ARM Off Spin,8,44,30,,,,,Capped,50
465,50,AL7,Anaru,Kitchen,New Zealand,,21-02-1984,38,ALL-ROUNDER,RHB,LEFT ARM Slow Orthodox,,,5,,,,,Capped,50
466,50,AL7,Dhananjaya,Lakshan,Sri Lanka,,05-10-1998,23,ALL-ROUNDER,LHB,RIGHT ARM Fast Medium,,1,,,,,,Capped,50
467,50,AL7,Sisanda,Magala,South Africa,,07-01-1991,31,ALL-ROUNDER,RHB,RIGHT ARM Fast,,1,4,,,,,Capped,50
468,50,AL7,Kyle,Mayers,West Indies,,08-09-1992,29,ALL-ROUNDER,LHB,RIGHT ARM Fast Medium,10,3,2,,,,,Capped,50
469,50,AL7,Andile,Phehlukwayo,South Africa,,03-03-1996,26,ALL-ROUNDER,LHB,RIGHT ARM Fast Medium,4,71,35,,,,,Capped,50
470,50,AL7,Seekkuge,Prasanna,Sri Lanka,,27-06-1985,36,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,1,40,20,,,,,Capped,50
471,50,AL7,Raymon,Reifer,West Indies,,11-05-1991,30,ALL-ROUNDER,LHB,LEFT ARM Fast Medium,1,5,,,,,,Capped,50
472,51,UAL7,Amit,Ali,India,TCA,28-10-2002,19,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,,,,,,,,Uncapped,20
473,51,UAL7,Chaitanya,Bishnoi,India,HCA,25-08-1994,27,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,0,CSK,,,Uncapped,20
474,51,UAL7,Mayank,Dagar,India,HPCA,11-11-1996,25,ALL-ROUNDER,RHB,LEFT ARM Slow Orthodox,,,,0,KXIP,,,Uncapped,20
475,51,UAL7,Migael,Pretorius,South Africa,,24-03-1995,27,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,,,,,Uncapped,20
476,51,UAL7,Karan,Sharma,India,UPCA,31-10-1998,23,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,,,,,,Uncapped,20
477,51,UAL7,Shivam,Sharma,India,DDCA,09-09-1993,28,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,,5,KXIP,,,Uncapped,20
478,51,UAL7,Pratyush,Singh,India,BICA,04-09-1994,27,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,,,,0,"CSK, DD",,,Uncapped,20
479,51,UAL7,Sanvir,Singh,India,PCA,12-10-1996,25,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,,,,,Uncapped,20
480,51,UAL7,Dhrushant,Soni,India,RSPB,09-10-1995,26,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,,,,,Uncapped,20
481,51,UAL7,M,Venkatesh,India,KSCA,12-05-2000,21,ALL-ROUNDER,LHB,RIGHT ARM Fast Medium,,,,,,,,Uncapped,20
482,52,UFA7,Bandaru,Ayyappa,India,ACA,27-10-1992,29,BOWLER,RHB,RIGHT ARM Fast Medium,,,,0,DC,,,Uncapped,20
483,52,UFA7,Gurnoor Singh,Brar,India,PCA,25-05-2000,21,BOWLER,LHB,RIGHT ARM Fast Medium,,,,,,,,Uncapped,20
484,52,UFA7,Akash,Choudhary,India,MECA,28-11-1999,22,BOWLER,RHB,RIGHT ARM Fast Medium,,,,,,,,Uncapped,20
485,52,UFA7,Baltej,Dhanda,India,PCA,04-11-1990,31,BOWLER,RHB,RIGHT ARM Fast Medium,,,,,,,,Uncapped,20
486,52,UFA7,Saurabh,Dubey,India,VCA,23-01-1998,24,BOWLER,RHB,LEFT ARM Fast Medium,,,,,,,,Uncapped,20
487,52,UFA7,Mohit,Jangra,India,UPCA,27-09-1999,22,BOWLER,LHB,LEFT ARM Fast Medium,,,,,,,,Uncapped,20
488,52,UFA7,Aaqib,Khan,India,UPCA,25-12-2003,18,BOWLER,RHB,RIGHT ARM Fast Medium,,,,,,,,Uncapped,20
489,52,UFA7,Ruben,Trumpelmann,Namibia,,01-02-1998,24,BOWLER,RHB,LEFT ARM Fast,,,,,,,,Associate,20
490,52,UFA7,Brad,Wheal,Scotland,,28-08-1996,25,BOWLER,RHB,RIGHT ARM Fast Medium,,,,,,,,Associate,50
491,52,UFA7,Lalit,Yadav,India,VCA,17-12-1995,26,BOWLER,RHB,RIGHT ARM Fast,,,,,,,,Uncapped,20
492,53,UAL8,Auqib,Dar,India,JKCA,04-11-1996,25,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,,,,,Uncapped,20
493,53,UAL8,Chirag,Gandhi,India,GUCA,18-06-1990,31,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,,,,,,,,Uncapped,20
494,53,UAL8,Chris,Green,Australia,,01-10-1993,28,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,,1,KKR,,,Uncapped,40
495,53,UAL8,Sijomon,Joseph,India,KCA,28-09-1997,24,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,,,,,Uncapped,20
496,53,UAL8,Anirudha,Joshi,India,KSCA,07-11-1987,34,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,,0,"RCB, RR, DC",DC,0,Uncapped,20
497,53,UAL8,Mohd. Arshad,Khan,India,MPCA,20-12-1997,24,ALL-ROUNDER,LHB,LEFT ARM Fast Medium,,,,,,,,Uncapped,20
498,53,UAL8,Ansh,Patel,India,BCA,19-02-2002,20,ALL-ROUNDER,RHB,LEFT ARM Slow Unorthodox,,,,,,,,Uncapped,20
499,53,UAL8,Shubham,Sharma,India,RCA,26-03-1997,25,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,,,,,Uncapped,20
500,53,UAL8,Shubham,Singh,India,CSCSCA,05-01-1997,25,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,,,,,,,,Uncapped,20
501,53,UAL8,K.Bhagath,Varma,India,HYCA,21-09-1998,23,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,,,,0,CSK,CSK,0,Uncapped,20
502,54,UFA8,Arpit,Guleria,India,HPCA,26-04-1997,24,BOWLER,RHB,RIGHT ARM Fast,,,,,,,,Uncapped,20
503,54,UFA8,Vipul,Krishna,India,BICA,09-02-2001,21,BOWLER,RHB,LEFT ARM Fast Medium,,,,,,,,Uncapped,20
504,54,UFA8,Safvan,Patel,India,BCA,03-10-1998,23,BOWLER,RHB,LEFT ARM Fast Medium,,,,,,,,Uncapped,20
505,54,UFA8,Chinntla,Readdi,India,HYCA,29-09-2000,21,BOWLER,RHB,RIGHT ARM Fast Medium,,,,,,,,Uncapped,20
506,54,UFA8,Manish,Reddy,India,HYCA,07-01-1999,23,BOWLER,RHB,RIGHT ARM Fast Medium,,,,,,,,Uncapped,20
507,54,UFA8,Ashok,Sharma,India,RCA,17-06-2002,19,BOWLER,RHB,RIGHT ARM Fast Medium,,,,,,,,Uncapped,20
508,54,UFA8,Ravi,Sharma,India,RCA,14-10-1996,25,BOWLER,RHB,RIGHT ARM Fast,,,,,,,,Uncapped,20
509,54,UFA8,Shubham,Singh,India,JSCA,06-12-1998,23,BOWLER,RHB,RIGHT ARM Fast Medium,,,,,,,,Uncapped,20
510,55,UAL9,Corbin,Bosch,South Africa,,10-09-1994,27,ALL-ROUNDER,RHB,RIGHT ARM Fast,,,,,,,,Uncapped,20
511,55,UAL9,Nathan,McAndrew,Australia,,14-07-1993,28,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,,,,,Uncapped,20
512,55,UAL9,Diwesh,Pathania,India,SSCB,22-06-1989,32,ALL-ROUNDER,RHB,RIGHT ARM Medium,,,,,,,,Uncapped,20
513,55,UAL9,Shubham,Ranjane,India,GCA,26-03-1994,28,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,0,RR,,,Uncapped,20
514,55,UAL9,Tom,Rogers,Australia,,03-03-1994,28,ALL-ROUNDER,LHB,RIGHT ARM Fast Medium,,,,,,,,Uncapped,20
515,55,UAL9,Johannes,Smit,Namibia,,10-11-1995,26,ALL-ROUNDER,RHB,LEFT ARM Medium,,,,,,,,Associate,20
516,55,UAL9,Sagar,Trivedi,India,CAP,20-10-1991,30,ALL-ROUNDER,LHB,RIGHT ARM Fast Medium,,,,0,RR,,,Uncapped,20
517,55,UAL9,Harsh,Tyagi,India,RSPB,23-12-1999,22,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,,,,,Uncapped,20
518,55,UAL9,R.,Vivek,India,TNCA,10-06-1991,30,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,,,,,Uncapped,20
519,55,UAL9,R.Sonu,Yadav,India,TNCA,11-11-1999,22,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,,,,,Uncapped,20
520,56,UFA9,V.,Athisayaraj,India,TNCA,06-06-1992,29,BOWLER,RHB,RIGHT ARM Fast Medium,,,,,,,,Uncapped,20
521,56,UFA9,Ottneil,Baartman,South Africa,,18-03-1993,29,BOWLER,RHB,RIGHT ARM Fast Medium,,,,,,,,Uncapped,20
522,56,UFA9,M.B.,Darshan,India,KSCA,19-01-1996,26,BOWLER,RHB,RIGHT ARM Fast Medium,,,,,,,,Uncapped,20
